#NAMN?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,
Variables,,"GDP (Million USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,
Unit,,US dollar,,,,,,,,,,,,,,
Year,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Metropolitan areas,,,,,,,,,,,,,,,,
AUS: Australia,,832202,854898,887111,918846,935997,956329,979956,1018340,1044810,1071600,1094880,1124890,1150720,1183750,1208770
  AUS01: Greater Sydney,,180914,180540,182816,186697,188029,194045,195343,201698,208919,212508,222383,233437,239093,244359,246471
  AUS02: Greater Melbourne,,155913,156011,159073,165763,164018,169893,171330,175607,179819,183192,191865,200524,204578,212031,214660
  AUS03: Greater Brisbane,,70487,75978,80315,82709,87938,85460,85710,90371,91724,92920,95225,98065,102888,107750,109119
  AUS04: Greater Perth,,74024,81580,90689,97286,101548,105327,119008,127308,129731,139648,130807,124971,126068,127748,138569
  AUS05: Greater Adelaide,,43729,43920,44654,46181,46178,47843,48454,48685,49736,50106,51291,51843,51616,52446,52562
ESP: Spain,,1474980,1540520,1610700,1671300,1684890,1621070,1622700,1609650,1562290,1539760,1560780,1621070,1669530,1718280,1754640
  ES001: Madrid,,267349,279599,294706,305923,310562,305459,302909,304904,299863,294929,298920,311423,321656,332864,341253
  ES002: Barcelona,,182538,191526,199243,206492,206729,198278,198999,196333,190943,188935,192922,200640,208069,216070,221396
  ES003: Valencia,,51023,52466,55129,58051,58863,55491,55541,54955,52716,51961,53125,54580,54890,55800,57699
  ES004: Seville,,39188,41364,42796,44797,44683,43262,42970,42839,41947,40533,41403,42442,43569,44923,45855
  ES005: Saragossa,,25985,27144,28488,29953,30124,28912,29035,28622,27432,27266,27645,28252,29416,30671,31386
JPN: Japan,,4802620,4882430,5132600,5213590,5043900,4844430,4991510,5117400,5129930,5243650,5213720,5268840,5285150,5394360,5447500
  JPN01: Tokyo,,1546015,1581172,1695091,1724233,1704622,1616168,1663993,1723262,1718407,1753718,1730445,1746808,1752653,1783059,1800719
  JPN02: Osaka,,626921,634336,653196,662371,644862,615508,638506,652935,652534,659986,662331,665154,664013,681236,683427
  JPN03: Nagoya,,352597,364203,403442,414748,376782,361470,364722,380949,398911,410294,410516,413553,411058,420635,428132
  JPN04: Fukuoka,,85910,87882,89548,92154,89377,89659,93252,94161,93307,94854,94454,95805,96528,98624,99925
  JPN05: Sapporo,,74740,73750,73858,73693,71730,71207,72188,73171,73125,74690,74810,75427,75135,76505,77230
POL: Poland,,674783,698446,741268,793614,826947,850364,882174,924146,936389,946930,978925,1020390,1052450,1103290,1162360
  PL001: Warsaw,,104616,112055,120062,129740,133349,139875,147662,153488,157360,161573,167694,173960,180338,191493,203835
  PL002: Lodz,,19225,19645,20870,22404,23640,24127,25179,25654,25909,26265,27256,28341,28629,29954,32268
  PL003: Cracow,,27528,28520,31478,33590,35078,35613,36749,38929,39466,40917,42737,45494,47939,51024,54682
  PL004: Wroclaw,,18720,19101,20756,23021,24801,26095,27173,28469,29432,30680,32249,34062,35595,37866,40579
  PL005: Poznan,,27293,28615,30096,32459,33849,35215,35644,37043,37909,39187,40415,42198,44090,46305,48033
TUR: Turkey,,1128110,1229550,1314980,1381300,1392560,1325400,1437090,1598040,1674570,1816670,1906400,2022400,2089600,2246370,2313310
  TR001: Ankara,,89338,98408,106590,114552,116641,112400,119226,131546,136520,153350,156201,164114,175217,180939,180502
  TR002: Adana,,11091,12072,12725,13412,13386,13034,14316,15609,16483,17798,18265,19444,20334,21172,20932
  TR003: Antalya,,19234,20906,22757,24279,23988,23565,26581,29616,30481,32836,35057,36471,32974,36466,41839
  TR004: Balikesir,,4893,5360,5588,5818,5974,5793,6263,6644,6870,6827,7323,7679,8035,8450,8735
  TR005: Bursa,,30526,33723,36496,38323,38353,35249,37926,43459,44625,48295,50940,54084,55658,60843,64808
Data extracted on 27 Feb 2024 15:03 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,
