#NAMN?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,
Variables,,"Population, all ages, administrative data",,,,,,,,,,,,,,
Unit,,Persons,,,,,,,,,,,,,,
Year,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Metropolitan areas,,,,,,,,,,,,,,,,
AUS: Australia,,19930400,20174500,20448600,20825100,21246500,21688800,22028700,22336900,22730400,23125200,23472800,23813100,24186300,24597200,24982700
  AUS01: Greater Sydney,,4184763,4217563,4256161,4325525,4409562,4492380,4555516,4608949,4677196,4757364,4841349,4930189,5024923,5136919,5225098
  AUS02: Greater Melbourne,,3641951,3697372,3760760,3841760,3931438,4031787,4105857,4169366,4265843,4370067,4476030,4586012,4714387,4843928,4964713
  AUS03: Greater Brisbane,,1823496,1866210,1908265,1958907,2012204,2068479,2108348,2147436,2196288,2241944,2281740,2318653,2362672,2412517,2461597
  AUS04: Greater Perth,,1520232,1544977,1576912,1628467,1682860,1739342,1781132,1833567,1892862,1943855,1973923,1998937,2019263,2037902,2058568
  AUS05: Greater Adelaide,,1168541,1177345,1189243,1204210,1219523,1237354,1253097,1264091,1277850,1289696,1302079,1313419,1324057,1334438,1345860
ESP: Spain,,42547500,43296300,44010000,44784700,45668900,46239300,46486600,46667200,46818200,46727900,46512200,46449600,46440100,46528000,46658400
  ES001: Madrid,,5919630,6090043,6146639,6233949,6440851,6569461,6649559,6687576,6702403,6701979,6661415,6643994,6675302,6717732,6791667
  ES002: Barcelona,,4565085,4658138,4727204,4743135,4813215,4875428,4896269,4912198,4933262,4922465,4907411,4908585,4926338,4957425,4985549
  ES003: Valencia,,1584792,1620671,1654049,1662180,1697110,1722393,1728334,1726086,1731040,1726103,1717694,1717473,1723352,1723935,1733606
  ES004: Seville,,1407777,1426529,1444514,1456716,1478630,1500880,1516323,1527575,1536722,1540296,1540802,1542162,1542237,1543858,1545862
  ES005: Saragossa,,692970,705452,711183,723827,741477,754093,757829,759652,766171,769657,754347,753884,751248,756296,759060
JPN: Japan,,127687000,127769000,127771000,127771000,127689000,127513000,128054000,127797000,127518000,127297000,127082000,127110000,126932000,126708000,126443000
  JPN01: Tokyo,,33886538,34163372,34314423,34501811,34660681,34747105,35274760,35328443,35355415,35441104,35565308,35707770,35884502,36064684,36231407
  JPN02: Osaka,,17278072,17283887,17273236,17257360,17238638,17220243,17304230,17287319,17261483,17230085,17190150,17162968,17143814,17125633,17103838
  JPN03: Nagoya,,8455361,8510436,8557483,8604216,8639935,8646512,8629765,8625333,8626441,8632099,8633991,8639205,8652554,8669761,8681708
  JPN04: Fukuoka,,2680921,2676229,2677714,2678026,2676508,2675319,2684483,2687469,2689783,2691769,2691347,2708075,2726887,2746439,2766437
  JPN05: Sapporo,,2296381,2289871,2278885,2266272,2252032,2240639,2240232,2232095,2221516,2209717,2197028,2200555,2204708,2209107,2212685
POL: Poland,,38190600,38173800,38157100,38125500,38115600,38135900,38022900,38062700,38063800,38062500,38017900,38005600,37967200,37973000,37976700
  PL001: Warsaw,,2904456,2918604,2935468,2953707,2972647,2988629,2985889,3015136,3035975,3056113,3069387,3091550,3110666,3132386,3154440
  PL002: Lodz,,996330,991542,985391,978156,971493,966039,953202,948711,943419,937808,931444,926120,921052,917173,912121
  PL003: Cracow,,1342259,1344867,1346858,1349550,1353530,1355736,1354477,1361102,1366987,1370850,1375294,1381755,1385638,1393219,1400321
  PL004: Wroclaw,,851534,851014,851228,851220,851008,851724,846011,849117,851233,853452,855968,860272,863696,869076,873028
  PL005: Poznan,,943532,944528,946501,948477,950579,952794,957628,961545,964839,967675,970130,973430,975878,979415,983752
TUR: Turkey,,67187300,68010200,68860500,69730000,70586300,71517100,72561300,73723000,74724300,75627400,76667900,77695900,78741100,79814900,80810500
  TR001: Ankara,,3629067,3702028,3777092,3853916,3930749,4003067,4092704,4199114,4303983,4369675,4439670,4532062,4638110,4704938,4791626
  TR002: Adana,,932702,942019,951670,961529,971219,980739,998119,1009251,1020664,1028810,1040242,1048150,1056654,1065608,1072776
  TR003: Antalya,,869748,897816,926628,956134,985904,1024463,1057771,1090060,1125957,1152990,1189207,1224631,1260941,1283037,1302784
  TR004: Balikesir,,329503,331502,333589,335718,337730,341345,344307,348001,348602,350540,351154,359096,358380,361246,363856
  TR005: Bursa,,1491245,1518274,1546112,1574592,1603001,1647730,1675777,1711814,1742449,1766128,1800817,1831414,1867555,1906220,1929478
Data extracted on 27 Feb 2024 14:44 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,
